"Tidsmerke","Hvilken øvingsforelesning følger du?","Hvor i ""øvingskalenderen"" ønsker du øvingsforelesningen skal være?
"2022/09/02 2:24:02 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","4"
"2022/09/02 2:27:35 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)",""
"2022/09/02 2:44:25 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/02 2:59:54 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 3:02:46 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","2"
"2022/09/02 3:05:22 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/02 3:06:25 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/02 3:07:33 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/02 3:11:50 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 3:29:57 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","4"
"2022/09/02 6:19:49 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/02 6:21:56 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","4"
"2022/09/02 6:22:37 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 6:23:25 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/02 6:24:09 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/02 6:30:20 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","2"
"2022/09/02 6:31:02 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/02 6:33:37 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/02 6:37:11 p.m. EET","Fredag","","2"
"2022/09/02 6:37:48 p.m. EET","Mandag - Fysisk","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/02 6:43:18 p.m. EET","Mandag - Digital","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/02 6:47:09 p.m. EET","Mandag - Digital","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","4"
"2022/09/02 8:02:55 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/02 10:03:50 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","2"
"2022/09/02 10:30:25 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/02 11:05:05 p.m. EET","Mandag - Fysisk","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/03 12:47:16 a.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/03 10:19:13 a.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/03 1:05:30 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","4"
"2022/09/03 4:27:20 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","4"
"2022/09/03 5:24:36 p.m. EET","Mandag - Digital","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","1"
"2022/09/03 7:50:40 p.m. EET","Mandag - Fysisk","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/04 4:21:53 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/04 10:40:24 p.m. EET","Mandag - Digital","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/04 10:42:44 p.m. EET","Mandag - Digital","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/04 11:05:28 p.m. EET","Mandag - Digital","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","2"
"2022/09/05 8:18:13 a.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 8:39:40 a.m. EET","Mandag - Fysisk","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/05 9:08:38 a.m. EET","Mandag - Fysisk","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","4"
"2022/09/05 9:37:46 a.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 11:03:32 a.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","2"
"2022/09/05 2:18:29 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:18:39 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:18:39 p.m. EET","Mandag - Fysisk","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","4"
"2022/09/05 2:18:47 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:18:49 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:19:13 p.m. EET","Fredag","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","2"
"2022/09/05 2:19:25 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/05 2:19:25 p.m. EET","Mandag - Digital","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","1"
"2022/09/05 2:19:27 p.m. EET","Mandag - Digital","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:19:28 p.m. EET","Mandag - Fysisk","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","2"
"2022/09/05 2:19:30 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:19:39 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:19:40 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:19:40 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:19:42 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:19:46 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","4"
"2022/09/05 2:19:47 p.m. EET","Mandag - Digital","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","4"
"2022/09/05 2:19:51 p.m. EET","Mandag - Digital","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:19:52 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:19:52 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:19:53 p.m. EET","Mandag - Digital","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","4"
"2022/09/05 2:19:53 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:19:56 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:19:57 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:19:58 p.m. EET","Mandag - Digital","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:19:58 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:19:58 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:02 p.m. EET","Mandag - Digital","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:03 p.m. EET","Mandag - Fysisk","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/05 2:20:04 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/05 2:20:07 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:07 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:20:10 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/05 2:20:12 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:12 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/05 2:20:15 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:20:17 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:18 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","2"
"2022/09/05 2:20:18 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","4"
"2022/09/05 2:20:19 p.m. EET","Mandag - Digital","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:20 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:20 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:20:20 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:20 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","2"
"2022/09/05 2:20:23 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/05 2:20:24 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:26 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:20:26 p.m. EET","Fredag","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:20:26 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:20:27 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:20:28 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:28 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:31 p.m. EET","Mandag - Fysisk","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/05 2:20:32 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:35 p.m. EET","Mandag - Digital","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:20:36 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:20:36 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/05 2:20:37 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","4"
"2022/09/05 2:20:37 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","2"
"2022/09/05 2:20:38 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:38 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:38 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:39 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:39 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:20:39 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:40 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:20:42 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","1"
"2022/09/05 2:20:42 p.m. EET","Mandag - Digital","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:43 p.m. EET","Mandag - Digital","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","4"
"2022/09/05 2:20:43 p.m. EET","Mandag - Digital","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","3"
"2022/09/05 2:20:44 p.m. EET","Fredag","Øvingsforelesning fredag uke 1 og mandag uke 2 med tema knyttet til øving 3 (11 dager fra mandags-øf til innlevering. 14 dager fra fredags-øf))","3"
"2022/09/05 2:20:47 p.m. EET","Mandag - Digital","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/05 2:20:48 p.m. EET","Mandag - Digital","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/05 2:20:48 p.m. EET","Mandag - Digital","Blanding av de to forrige alternativene, 50% innhold til øvingen som har innlevering om under en uke, og 50% innhold til neste.","3"
"2022/09/05 2:20:49 p.m. EET","Mandag - Fysisk","Øvingsforelesning fredag uke 2 og mandag uke 3 med tema knyttet til øving 3 (bare 4 dager fra mandags-øf til innlevering. 7 dager fra fredags-øf)","2"
